#ステージ横幅、縦幅
15,16
#プレイヤー開始位置
5,4,1
#お宝位置
13,14
#召喚可能なモンスター
0,0,1
#初期SP
0
#マップ情報
5,5,6,0,0,0,0,0,0,0,0,0,0,0,4
5,5,6,0,0,0,0,0,0,0,0,0,0,0,4
5,2,3,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,8,8,8,5
6,0,7,9,0,0,0,0,0,0,0,0,5,0,5
6,0,4,5,8,8,8,8,8,8,8,8,5,5,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,0,0,0,0,0,7,9,0,0,0,0,0,0,4
6,0,0,0,0,7,5,6,0,0,0,7,8,8,5
6,0,0,0,7,5,5,6,0,0,0,1,2,2,5
6,0,0,7,5,0,0,0,0,0,0,0,0,0,4
5,8,8,5,5,8,8,8,8,8,8,8,8,8,5
#モンスターの出現情報
1,0,2,3,1
0,2,13,2,1
1,0,10,4,0
1,0,13,4,1
1,0,5,14,0
1,0,11,14,1
